Carrosserie;Code_vehicule;Alimentation;Boite_vitesse;Date_debut_comerc;Date_fin_comerc;Groupe_vehicule;Classe_vehicule;Puissance_vehicule
MONOSPACE;RE67207;GO;M;11012007;2102008.0;32;M;8.0
MONOSPACE;VW34298;GO;S;1012014;2022015.0;33;M;8.0
BERLINE;RO16005;ES;M;1990;1990.0;35;P;14.0
MONOSPACE;FO34038;ES;M;17072006;1042008.0;30;J;6.0
FOURGONNETTE;TO11014;GO;M;1998;2001.0;29;M;10.0
FOURGONNETTE;CI10011;ES;M;1989;1989.0;27;D;6.0
FOURGONNETTE;FI04005;ES;M;1983;9999.0;25;A;5.0
MONOSPACE;RE81414;GO;M;4022014;3062014.0;31;L;6.0
MONOSPACE;RE81491;GO;M;1072015;2112016.0;32;M;7.0
BREAK;FO07413;GO;M;1995;1997.0;28;H;5.0
MONOSPACE;ME56035;GO;A;3012013;2092013.0;36;R;12.0
BERLINE;ME40031;GO;A;1999;1999.0;36;S;13.0
FOURGONNETTE;PE26128;GO;M;2000;11092000.0;31;L;8.0
FOURGONNETTE;FI26075;GO;M;1997;1997.0;28;E;7.0
BERLINE;LA15026;GO;M;15062003;1092004.0;34;N;9.0
CAMIONNETTE;BE01017;ES;M;1986;1988.0;29;G;11.0
FOURGONNETTE;RE78241;GO;M;1062016;;29;J;5.0
BERLINE;SE12234;ES;M;4102013;23042014.0;32;K;6.0
BERLINE;MZ17120;GO;M;1999;1999.0;31;J;6.0
BERLINE;PE35018;ES;S;1042005;1042005.0;31;I;6.0
MONOSPACE;PE42053;ES;M;4072011;2012013.0;33;M;9.0
BERLINE;RE96017;ES;S;1122015;;35;M;11.0
FOURGONNETTE;FI13017;ES;M;1981;9999.0;26;A;5.0
BERLINE;CI48182;ES;S;3042018;;27;F;4.0
COUPE;RE80302;GO;S;5112013;1072015.0;31;M;6.0
BERLINE;SE12475;GO;M;1102016;;32;K;6.0
BERLINE;AU33384;GO;M;8122011;24042014.0;35;P;9.0
BERLINE;CI53103;GO;S;1062015;3072017.0;35;N;9.0
BERLINE;VW28093;GO;M;2000;2052001.0;32;K;7.0
MONOSPACE;CI50171;GO;S;1062012;1102013.0;31;M;6.0
FOURGONNETTE;RE56092;GO;M;4092006;2102008.0;28;I;6.0
FOURGONNETTE;FO15186;GO;M;1992;1992.0;32;M;10.0
BERLINE;PE31025;GO;M;25092004;25092004.0;33;O;8.0
BREAK;BM25044;GO;M;1994;1996.0;32;O;8.0
FOURGONNETTE;VW01391;GO;M;19122016;;31;M;7.0
MONOSPACE;VW34370;ES;M;1102015;17042018.0;32;M;6.0
BERLINE;RE88150;GO;S;5092017;3072018.0;30;K;4.0
MONOSPACE;SE14122;ES;M;23042014;5112015.0;31;J;6.0
FOURGONNETTE;CI36043;ES;M;1996;1062000.0;32;L;10.0
FOURGONNETTE;FI28046;GO;M;1998;1042000.0;33;N;9.0
BERLINE;CI58057;GO;S;1102013;2062014.0;30;K;5.0
BERLINE;BM42010;ES;A;1999;17072000.0;40;HC;21.0
MONOSPACE;FO34097;ES;M;23082010;1102012.0;32;K;7.0
BERLINE;BM70741;GO;A;1072015;1112016.0;35;P;10.0
CABRIOLET;BM71087;ES;A;1112013;1032015.0;38;S;15.0
FOURGONNETTE;RE78228;GO;M;1062016;;29;J;5.0
FOURGONNETTE;FI03067;GO;M;21112011;1102017.0;28;I;5.0
4x4-SUV;LR03047;GO;A;1994;1995.0;30;Q;10.0
BERLINE;PE31078;GO;M;5032007;2032009.0;35;P;10.0
BERLINE;RE70051;ES;A;18072005;31032006.0;31;I;7.0
FOURGONNETTE;FO08332;ES;M;1997;17062003.0;27;D;7.0
4x4-SUV;LR10021;GO;M;1092015;;32;Q;8.0
FOURGONNETTE;PE40002;GO;M;2012008;31102011.0;28;H;6.0
FOURGONNETTE;RE59014;GO;M;2000;2000.0;33;O;9.0
BREAK;OP09167;ES;M;1987;1989.0;29;G;6.0
BERLINE;BM70A07;ES;M;1042018;1102018.0;34;O;7.0
FOURGONNETTE;RE56047;GO;M;2092002;18072005.0;28;J;6.0
BERLINE;RE88102;GO;M;1072015;3072018.0;30;K;4.0
BERLINE;VW49171;ES;M;24042014;28042015.0;32;K;6.0
BERLINE;AU18747;GO;M;1062005;1062005.0;35;Q;10.0
BERLINE;AU39264;GO;S;1042016;29092016.0;30;L;4.0
4x4-SUV;NA06016;GO;M;1993;1993.0;31;O;11.0
BERLINE;VW28263;GO;M;1082002;1012003.0;31;L;7.0
FOURGONNETTE;RE78225;GO;M;1062016;;28;H;5.0
BERLINE;CV17041;GO;M;1092012;31122014.0;33;K;7.0
FOURGONNETTE;RE36019;ES;M;1983;9999.0;25;A;6.0
BERLINE;AU39067;ES;S;8122011;24112014.0;35;M;10.0
4x4-SUV;ME42047;ES;A;2012003;18012005.0;35;V;24.0
CAMIONNETTE;RE75097;GO;A;28092010;4012011.0;35;O;7.0
4x4-SUV;ME42056;GO;A;1092006;3062009.0;33;U;16.0
BREAK;VW22144;ES;M;1996;1997.0;29;H;7.0
AUTRE;SK08130;GO;M;18012010;7112011.0;35;N;10.0
FOURGONNETTE;MI09003;GO;M;1994;1995.0;29;M;10.0
BERLINE;OP34096;E8;M;9092010;1122011.0;37;N;14.0
MONOSPACE;PE42136;GO;A;2022015;2112015.0;31;M;6.0
BREAK;PE15052;ES;M;1982;1983.0;30;I;10.0
BERLINE;OP14003;ES;M;1966;1971.0;29;H;11.0
BERLINE;FI47053;GN;M;15092010;21112011.0;28;G;4.0
BREAK;FO13076;ES;M;1983;1984.0;31;G;8.0
BERLINE;SK11036;ES;M;5112012;5102015.0;28;D;4.0
4x4-SUV;SZ02024;ES;A;1996;1996.0;27;J;9.0
CAMIONNETTE;MN02086;GO;A;1112012;3112014.0;31;L;8.0
BERLINE;RO03018;GO;M;1994;1994.0;26;D;5.0
4x4-SUV;LR02078;GO;M;15072003;15122003.0;31;P;10.0
BREAK;FO09100;ES;M;1982;1984.0;32;A;15.0
FOURGONNETTE;RE12096;GO;M;1997;1998.0;27;F;7.0
BERLINE;SB04151;ES;M;1092001;1022002.0;37;O;13.0
BERLINE;RE92060;ES;S;6032018;;28;G;5.0
4x4-SUV;LR02007;ES;M;1991;1991.0;33;M;20.0
BREAK;FO07354;GO;M;1994;1994.0;30;I;6.0
COUPE;PE28308;GO;M;2052003;1042004.0;33;P;8.0
FOURGONNETTE;RE78202;GO;M;1122014;1062016.0;28;I;5.0
FOURGONNETTE;RE78221;GO;M;1042015;1062016.0;29;G;5.0
BERLINE;BM26004;ES;A;1988;1988.0;35;O;14.0
4x4-SUV;LR08067;ES;A;2102017;;45;Y;50.0
BERLINE;RE07290;ES;M;1998;1998.0;28;D;4.0
FOURGONNETTE;VW01340;GO;M;7102015;;31;K;7.0
FOURGONNETTE;CI71034;GO;M;10092018;;32;K;5.0
FOURGONNETTE;RE12067;ES;M;1995;1995.0;26;E;7.0
BERLINE;FO28372;GO;M;1122007;2112009.0;33;L;8.0
CABRIOLET;AU49146;GO;M;1012017;27042017.0;36;O;10.0
MONOSPACE;FO35100;GO;A;2072018;;34;O;8.0
4x4-SUV;LR01012;GO;M;1997;1998.0;29;L;8.0
